2020-10-01 08:18:18.362053+00:00 nozzle: 1 | time: 1601540298.3620534 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.409053+00:00 nozzle: 1 | time: 1601540298.409054 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.474055+00:00 nozzle: 1 | time: 1601540298.474056 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.518067+00:00 nozzle: 1 | time: 1601540298.5180676 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.551049+00:00 nozzle: 1 | time: 1601540298.5500507 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.611050+00:00 nozzle: 1 | time: 1601540298.6110506 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.659050+00:00 nozzle: 1 | time: 1601540298.659051 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.690052+00:00 nozzle: 1 | time: 1601540298.6900527 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.754051+00:00 nozzle: 1 | time: 1601540298.7540517 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.757053+00:00 nozzle: 1 | time: 1601540298.7570534 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.800055+00:00 nozzle: 1 | time: 1601540298.8000553 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.831065+00:00 nozzle: 1 | time: 1601540298.8310654 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.883051+00:00 nozzle: 1 | time: 1601540298.8830516 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.926052+00:00 nozzle: 1 | time: 1601540298.9260528 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:18.956051+00:00 nozzle: 1 | time: 1601540298.9560509 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:19.009051+00:00 nozzle: 1 | time: 1601540299.009051 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:19.045050+00:00 nozzle: 1 | time: 1601540299.0450509 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:19.079052+00:00 nozzle: 1 | time: 1601540299.0790522 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:19.112051+00:00 nozzle: 1 | time: 1601540299.1120517 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:19.114082+00:00 nozzle: 1 | time: 1601540299.1140828 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:19.115073+00:00 nozzle: 1 | time: 1601540299.1150732 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:19.166050+00:00 nozzle: 1 | time: 1601540299.1660507 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.367140+00:00 nozzle: 1 | time: 1601540300.3671403 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.402144+00:00 nozzle: 1 | time: 1601540300.4011447 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.451140+00:00 nozzle: 1 | time: 1601540300.4511404 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.452139+00:00 nozzle: 1 | time: 1601540300.4511404 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.495139+00:00 nozzle: 1 | time: 1601540300.4951398 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.523140+00:00 nozzle: 1 | time: 1601540300.5231407 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.524139+00:00 nozzle: 1 | time: 1601540300.5241394 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.574142+00:00 nozzle: 1 | time: 1601540300.5741422 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.602143+00:00 nozzle: 1 | time: 1601540300.6021433 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:20.867140+00:00 nozzle: 1 | time: 1601540300.8671403 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:22.339146+00:00 nozzle: 1 | time: 1601540302.3391461 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:22.374146+00:00 nozzle: 1 | time: 1601540302.3741462 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:22.420142+00:00 nozzle: 1 | time: 1601540302.4201427 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:22.455141+00:00 nozzle: 1 | time: 1601540302.4551415 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:22.484141+00:00 nozzle: 1 | time: 1601540302.4841416 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:22.517142+00:00 nozzle: 1 | time: 1601540302.5171428 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:22.947141+00:00 nozzle: 1 | time: 1601540302.9471414 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:24.864143+00:00 nozzle: 2 | time: 1601540304.8641431 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:24.865145+00:00 nozzle: 1 | time: 1601540304.8651454 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:24.895144+00:00 nozzle: 2 | time: 1601540304.895144 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:24.897158+00:00 nozzle: 1 | time: 1601540304.8971581 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:24.928142+00:00 nozzle: 2 | time: 1601540304.9281425 | location 0 | delay: 0 | duration: 1
2020-10-01 08:18:24.929142+00:00 nozzle: 1 | time: 1601540304.929142 | location 0 | delay: 0 | duration: 1
