2020-10-01 08:20:24.211780+00:00 nozzle: 1 | time: 1601540424.21178 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.267782+00:00 nozzle: 1 | time: 1601540424.2667806 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.322781+00:00 nozzle: 1 | time: 1601540424.3227813 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.382793+00:00 nozzle: 1 | time: 1601540424.3827932 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.415782+00:00 nozzle: 1 | time: 1601540424.4157825 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.453781+00:00 nozzle: 1 | time: 1601540424.4537814 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.536333+00:00 nozzle: 1 | time: 1601540424.5363338 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.581347+00:00 nozzle: 1 | time: 1601540424.5813472 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.642333+00:00 nozzle: 1 | time: 1601540424.6423335 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.644332+00:00 nozzle: 1 | time: 1601540424.643333 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.703334+00:00 nozzle: 1 | time: 1601540424.7033348 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.735863+00:00 nozzle: 1 | time: 1601540424.735864 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.790866+00:00 nozzle: 1 | time: 1601540424.7908666 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.829859+00:00 nozzle: 1 | time: 1601540424.8298593 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.874860+00:00 nozzle: 1 | time: 1601540424.87486 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.936862+00:00 nozzle: 1 | time: 1601540424.9358652 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:24.992864+00:00 nozzle: 1 | time: 1601540424.9928646 | location 0 | delay: 0 | duration: 1
2020-10-01 08:20:25.058865+00:00 nozzle: 1 | time: 1601540425.058865 | location 0 | delay: 0 | duration: 1
