2020-10-01 08:14:33.556261+00:00 nozzle: 1 | time: 1601540073.5562618 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.613265+00:00 nozzle: 1 | time: 1601540073.613265 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.649261+00:00 nozzle: 1 | time: 1601540073.6492615 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.680261+00:00 nozzle: 1 | time: 1601540073.6802614 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.714266+00:00 nozzle: 1 | time: 1601540073.713261 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.789260+00:00 nozzle: 1 | time: 1601540073.7892609 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.837261+00:00 nozzle: 1 | time: 1601540073.837261 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.868262+00:00 nozzle: 1 | time: 1601540073.868262 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.901261+00:00 nozzle: 1 | time: 1601540073.9012613 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.902260+00:00 nozzle: 1 | time: 1601540073.902261 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.948261+00:00 nozzle: 1 | time: 1601540073.9482613 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:33.981261+00:00 nozzle: 1 | time: 1601540073.981261 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:34.036262+00:00 nozzle: 1 | time: 1601540074.036262 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:34.067260+00:00 nozzle: 1 | time: 1601540074.0672605 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:34.103260+00:00 nozzle: 1 | time: 1601540074.1032605 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:34.134261+00:00 nozzle: 1 | time: 1601540074.134262 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:34.181265+00:00 nozzle: 1 | time: 1601540074.1812654 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:34.212261+00:00 nozzle: 1 | time: 1601540074.2122612 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:34.246264+00:00 nozzle: 1 | time: 1601540074.2462645 | location 0 | delay: 0 | duration: 1
